,page,page_num,prediction
0,None,342932,13892
1,A.1,73727,-15695
2,A.3,16269,-2917
3,A.2,15895,-2179
4,A.4,12971,-2427
5,B.1,11150,-1996
6,1,10998,-1898
7,A.6,8106,-1376
8,A.5,7863,-1239
9,A.7,6703,-1075
10,A.8,5685,-1015
11,B.2,4903,-821
12,A.9,4404,-760
13,B.3,3976,-446
14,1.A,3453,-735
15,2.B,3045,-595
16,3,2517,-117
17,C.1,2432,-280
18,4,2359,-259
19,6,2353,-243
20,B.4,2297,-323
21,2,2019,-269
22,A.10,1933,-593
23,5,1810,-106
24,D.1,1740,-146
25,7,1727,-233
26,A.11,1649,-515
27,B.5,1460,-88
28,A.12,1250,-414
29,A.13,1225,-385
30,8,1213,-277
31,9,1054,-116
32,A.14,1032,-218
33,C.3,991,-267
34,A.15,991,-249
35,A3,950,-84
36,A.16,927,-209
37,A.18,865,-227
38,B.6,798,-150
39,10,766,-234
