,page_num,prediction
None,682548,23046
A.2,46017,-11619
A.1,45194,-12344
A.3,30727,-7601
A.4,30515,-8421
A.5,21201,-4597
1,18985,-3965
A.6,18742,-4522
A.7,14862,-3848
B.1,12441,-3355
A.8,11488,-2892
B.2,10150,-2016
A.9,8269,-1959
B.3,6111,-1201
2,4434,-792
4,4044,-778
2.B,3842,-578
1.A,3771,-627
3,3707,-137
B.4,3227,-303
6,3059,-529
A3,3007,-1001
D.1,2941,-483
5,2501,-273
C.1,2466,-364
C.3,2232,-568
B.5,2157,-153
7,2127,-461
8,2098,-480
A1,1965,-333
D.3,1906,-330
A.11,1837,-577
A.10,1817,-513
C.2,1800,-224
D.5,1680,-322
B.6,1372,-196
9,1299,-457
A-1,1276,-238
A.12,1111,-297
10,1008,-272
