,publisher_name,sentiment
13,Los Angeles Times,-0.36
4,New York Times,-0.36
1,Washington Post (Online) The,-0.35
8,Washington Post The,-0.35
9,Los Angeles Times (Online),-0.33
6,Washington Examiner,-0.3
0,New York Times (Online),-0.28
19,South Florida Sun - Sentinel,-0.27
14,Telegraph - Herald,-0.25
15,USA TODAY,-0.25
11,Politico,-0.23
2,USA Today (Online),-0.23
18,Chicago Tribune,-0.22
10,Wall Street Journal,-0.22
16,Boston Globe,-0.22
3,Wall Street Journal (Online),-0.19
7,Chicago Tribune (Online),-0.17
17,Arizona Republic,-0.16
12,Boston Globe (Online),-0.15
5,Daily Herald,-0.07
