,publisher
New York Times (Online),65653
CNN Wire Service,59649
USA Today (Online),55162
Daily Herald,54037
Washington Post (Online) The,51331
Wall Street Journal (Online),48552
Chicago Tribune (Online),40849
New York Times,39415
Los Angeles Times (Online),32860
Washington Examiner,32695
Boston Globe (Online),30293
Washington Post The,28001
Wall Street Journal,27084
Los Angeles Times,24292
Politico,23909
Chicago Tribune,21731
Boston Globe,20894
USA TODAY,20666
Arizona Republic,19921
Telegraph - Herald,19806
Orlando Sentinel,18001
South Florida Sun - Sentinel,17682
Pittsburgh Post - Gazette,17343
Portland Press Herald,16877
Newsday,15424
Austin American Statesman,15041
Des Moines Register,14605
Daily Times,14516
Baltimore Sun (Online) The,14475
Hartford Courant (Online),14259
